task,forgetting_phase1,forgetting_phase2,delta
xor_quadrant,49.05,0.0,-49.05
vertical,51.0,26.1,-24.9
horizontal,48.75,23.5,-25.25
diagonal,50.65,28.65,-22.0
circle,0.0,0.0,0.0
