,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,59.25,50.9,49.3,47.95,68.0
vertical,,96.05,57.35,72.8,69.95
horizontal,,,92.05,76.6,68.55
diagonal,,,,97.85,69.2
circle,,,,,57.2
