step,gov_loss,loss_new,loss_old,sparse_cost,delta_cost,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,1.107295274734497,0.7812151312828064,0.5347227454185486,0.0512281209230423,0.0812796801328659,0.5262,0.0019,0.5195,0.5333,0.0,0.0
50,1.1401407718658447,0.25862860679626465,0.2609521746635437,0.02262662723660469,0.06565732508897781,0.4506,0.0046,0.4363,0.4776,0.0,0.0
100,1.2665150165557861,0.6636608839035034,0.6819190979003906,2.8608374122995883e-06,0.008559518493711948,0.302,0.014,0.2638,0.402,0.0,0.0
150,1.1276241540908813,0.7915866374969482,0.6408405303955078,0.0011409178841859102,0.03013787604868412,0.2671,0.0191,0.2072,0.4291,0.0,0.0
200,1.17128586769104,1.1881921291351318,0.17110031843185425,0.0004540793306659907,0.02319590374827385,0.2817,0.0321,0.1554,0.4977,0.0,0.0
