task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,29.45,-19.6
xor_quadrant,51.0,0.0,-51.0
diagonal,48.75,12.5,-36.25
vertical,50.65,18.1,-32.55
circle,0.0,0.0,0.0
