,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,95.65,80.75,74.1,50.4,66.2
xor_quadrant,,63.35,53.5,49.6,65.4
diagonal,,,95.2,74.5,82.7
vertical,,,,99.6,81.5
circle,,,,,58.9
