task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,95.65,95.65,66.2,29.45
xor_quadrant,63.35,65.4,65.4,0.0
diagonal,95.2,95.2,82.7,12.5
vertical,99.6,99.6,81.5,18.1
circle,58.9,58.9,58.9,0.0
