task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.76318,49.81,1.492
horizontal,1,2,0.61874,73.12,1.108
horizontal,1,3,0.5138,88.79,1.17
horizontal,1,4,0.35026,93.65,1.095
horizontal,1,5,0.19874,97.22,1.269
xor_quadrant,2,1,1.13402,51.65,1.177
xor_quadrant,2,2,0.89931,52.67,1.174
xor_quadrant,2,3,0.76551,54.4,1.196
xor_quadrant,2,4,0.68647,57.98,1.196
xor_quadrant,2,5,0.64132,63.66,1.232
circle,3,1,0.62271,63.3,1.25
circle,3,2,0.56584,74.06,1.225
circle,3,3,0.55172,75.66,1.217
circle,3,4,0.54364,75.66,1.21
circle,3,5,0.53664,75.66,1.228
diagonal,4,1,0.68566,62.06,1.249
diagonal,4,2,0.55075,80.47,1.236
diagonal,4,3,0.44785,84.99,1.197
diagonal,4,4,0.35008,88.13,1.237
diagonal,4,5,0.26608,91.15,1.23
vertical,5,1,0.34345,83.78,1.231
vertical,5,2,0.15977,94.61,1.245
vertical,5,3,0.08208,98.47,1.218
vertical,5,4,0.05082,99.58,1.217
vertical,5,5,0.03625,99.71,1.167
