task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.9,-0.15
xor_quadrant,51.0,17.05,-33.95
circle,48.75,27.1,-21.65
diagonal,50.65,18.7,-31.95
vertical,0.0,0.0,0.0
