,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.8,80.55,50.8,73.2,49.9
xor_quadrant,,66.35,50.0,53.4,49.3
circle,,,77.4,56.2,50.3
diagonal,,,,92.7,74.0
vertical,,,,,99.8
