task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,46.45,-2.6
xor_quadrant,51.0,10.05,-40.95
diagonal,48.75,22.45,-26.3
circle,50.65,16.55,-34.1
horizontal,0.0,0.0,0.0
