metric,baseline_mean,baseline_std,baseline_median,baseline_min,baseline_max,governor_mean,governor_std,governor_median,governor_min,governor_max,paired_diff_mean,paired_diff_std,paired_diff_min,paired_diff_max,governor_wins
avg_forgetting,39.123,0.6886548885730481,39.295,37.46,39.89,16.479000000000003,1.0819473184956845,16.245,14.619999999999994,18.23,-22.644,0.7796466436077902,-23.220000000000006,-20.889999999999993,10
avg_forgetting_overwritten,48.903749999999995,0.8608186107163086,49.118750000000006,46.825,49.8625,20.598750000000003,1.3524341481196056,20.30625,18.27499999999999,22.7875,-28.305,0.974558304509737,-29.025000000000006,-26.112499999999997,10
final_avg_accuracy,59.721999999999994,0.6853839151242952,59.69500000000001,58.779999999999994,61.15999999999999,70.16499999999999,0.8780439118353421,70.06,68.92,71.33000000000001,10.443000000000001,0.7912444488132432,9.469999999999999,12.329999999999991,10
