task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,46.1,-2.95
xor_quadrant,51.0,14.0,-37.0
circle,48.75,27.05,-21.7
diagonal,50.65,16.1,-34.55
vertical,0.0,0.0,0.0
