,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,95.65,80.75,50.8,71.95,49.55
xor_quadrant,,63.35,50.0,55.55,49.35
circle,,,77.4,58.85,50.35
diagonal,,,,89.75,73.65
vertical,,,,,99.35
