task,phase,epoch,train_loss,train_accuracy,epoch_seconds
vertical,1,1,0.76095,49.67,1.609
vertical,1,2,0.70855,49.67,1.679
vertical,1,3,0.65589,78.16,1.956
vertical,1,4,0.58672,91.8,1.375
vertical,1,5,0.48535,94.55,1.541
xor_quadrant,2,1,0.75425,51.79,1.643
xor_quadrant,2,2,0.72399,54.02,1.386
xor_quadrant,2,3,0.69964,55.61,1.619
xor_quadrant,2,4,0.68066,58.58,1.635
xor_quadrant,2,5,0.66337,61.13,1.689
diagonal,3,1,0.5397,89.47,1.559
diagonal,3,2,0.46891,92.17,1.495
diagonal,3,3,0.39913,93.8,1.461
diagonal,3,4,0.33096,95.37,1.385
diagonal,3,5,0.26826,96.71,1.406
circle,4,1,0.93875,53.64,1.44
circle,4,2,0.79517,55.22,1.446
circle,4,3,0.68242,57.34,1.673
circle,4,4,0.60493,64.8,1.462
circle,4,5,0.56021,73.21,1.411
horizontal,5,1,0.62529,59.79,1.446
horizontal,5,2,0.46738,81.36,1.461
horizontal,5,3,0.34275,91.51,1.997
horizontal,5,4,0.24124,96.29,1.761
horizontal,5,5,0.17109,98.57,1.564
