task,forgetting_phase1,forgetting_phase2,delta
vertical,49.05,47.25,-1.8
xor_quadrant,51.0,13.35,-37.65
diagonal,48.75,22.75,-26.0
circle,50.65,23.45,-27.2
horizontal,0.0,0.0,0.0
