task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,26.85,-22.2
vertical,51.0,20.15,-30.85
circle,48.75,18.15,-30.6
diagonal,50.65,25.1,-25.55
xor_quadrant,0.0,0.0,0.0
