,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.2,57.8,51.1,75.25,72.35
vertical,,91.4,50.0,73.95,71.25
circle,,,74.9,49.95,56.75
diagonal,,,,98.8,73.7
xor_quadrant,,,,,69.55
