task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.4,99.4,60.2,39.2
xor_quadrant,51.5,59.9,59.9,0.0
diagonal,97.55,97.55,59.05,38.5
vertical,98.45,98.45,59.1,39.35
circle,65.8,65.8,65.8,0.0
