,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,94.8,59.25,52.15,75.4,74.5
vertical,,90.2,53.4,74.05,74.85
circle,,,73.75,55.6,62.8
diagonal,,,,95.2,83.1
xor_quadrant,,,,,66.9
