task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,20.3,-28.75
vertical,51.0,15.35,-35.65
circle,48.75,10.95,-37.8
diagonal,50.65,12.1,-38.55
xor_quadrant,0.0,0.0,0.0
