,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.8,48.7,50.1,75.0,49.4
vertical,,99.5,47.6,74.2,49.3
circle,,,96.8,49.4,50.7
diagonal,,,,99.35,47.45
xor_quadrant,,,,,98.2
