,after_t1,after_t2,after_t3,after_t4,after_t5
circle,77.4,50.75,63.6,55.1,48.85
vertical,,97.35,76.1,75.2,49.95
xor_quadrant,,,63.5,54.2,51.05
diagonal,,,,94.0,75.85
horizontal,,,,,99.65
