task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,28.55,-20.5
vertical,51.0,47.4,-3.6
xor_quadrant,48.75,12.45,-36.3
diagonal,50.65,18.15,-32.5
horizontal,0.0,0.0,0.0
