task,phase,epoch,train_loss,train_accuracy,epoch_seconds
vertical,1,1,0.74266,49.67,2.292
vertical,1,2,0.67081,69.5,1.436
vertical,1,3,0.5797,89.69,1.267
vertical,1,4,0.44136,94.21,1.404
vertical,1,5,0.27703,96.88,1.463
circle,2,1,0.97787,49.44,1.667
circle,2,2,0.80723,50.07,1.562
circle,2,3,0.69743,54.99,1.532
circle,2,4,0.62605,66.43,1.509
circle,2,5,0.58116,73.49,1.511
horizontal,3,1,0.71077,61.73,1.385
horizontal,3,2,0.58933,76.61,1.415
horizontal,3,3,0.5043,85.48,1.574
horizontal,3,4,0.41594,92.02,1.535
horizontal,3,5,0.32577,95.64,1.608
diagonal,4,1,0.37093,82.43,1.621
diagonal,4,2,0.26449,90.97,1.578
diagonal,4,3,0.18273,96.37,1.584
diagonal,4,4,0.12861,99.04,1.531
diagonal,4,5,0.09298,99.45,1.467
xor_quadrant,5,1,1.35187,57.26,1.398
xor_quadrant,5,2,0.93826,65.78,1.57
xor_quadrant,5,3,0.77215,66.97,1.614
xor_quadrant,5,4,0.67304,67.55,1.632
xor_quadrant,5,5,0.61702,68.06,1.751
