,after_t1,after_t2,after_t3,after_t4,after_t5
vertical,98.4,50.0,51.75,74.4,70.8
circle,,74.9,50.45,48.7,56.2
horizontal,,,97.45,74.8,72.1
diagonal,,,,99.35,73.65
xor_quadrant,,,,,68.9
