phase,batch,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,0,0.02157650701701641,0.009198579005897045,0.013627512380480766,0.2683536112308502,0.9980868697166443,0.0
1,78,0.015576052479445934,0.007073590066283941,0.0005043979617767036,0.20621798932552338,0.998144805431366,0.0
1,0,0.016902020201086998,0.00758954044431448,0.0005393698811531067,0.22094178199768066,0.998144805431366,0.0
1,78,0.02332383021712303,0.009323596954345703,0.0005807262496091425,0.2631566524505615,0.998144805431366,0.0
1,0,0.019778119400143623,0.008386120200157166,0.0004904555971734226,0.2477750927209854,0.998144805431366,0.0
1,78,0.020256683230400085,0.008287915959954262,0.00043172677396796644,0.24442607164382935,0.998144805431366,0.0
1,0,0.021002069115638733,0.008540276437997818,0.0004514339379966259,0.2496868073940277,0.998144805431366,0.0
1,78,0.01749010942876339,0.007337678223848343,0.000338797050062567,0.22155295312404633,0.998144805431366,0.0
1,0,0.021603193134069443,0.008565702475607395,0.0004087137058377266,0.2502574324607849,0.998144805431366,0.0
1,78,0.023265188559889793,0.009033112786710262,0.0004015501181129366,0.277972549200058,0.998144805431366,0.0
2,0,0.01760232448577881,0.002099574776366353,0.003362066810950637,0.025338517501950264,1.0,0.0
2,78,0.0178056713193655,0.0024774966295808554,0.003423923859372735,0.022554975003004074,1.0,0.0
2,0,0.018842723220586777,0.0025721422862261534,0.0036259107291698456,0.02396344020962715,1.0,0.0
2,78,0.01652139239013195,0.002472821157425642,0.002663311781361699,0.021322978660464287,1.0,0.0
2,0,0.017672128975391388,0.002596117090433836,0.002865517744794488,0.022842157632112503,1.0,0.0
2,78,0.016203224658966064,0.0024879248812794685,0.0021522892639040947,0.02153240516781807,1.0,0.0
2,0,0.017007844522595406,0.0025532636791467667,0.002297560917213559,0.022550007328391075,1.0,0.0
2,78,0.017774537205696106,0.0028680507093667984,0.002043192507699132,0.023935401812195778,1.0,0.0
2,0,0.01974663883447647,0.0032357401214540005,0.002208727179095149,0.026234086602926254,1.0,0.0
2,78,0.018394384533166885,0.0029558397363871336,0.0020347086247056723,0.026194177567958832,1.0,0.0
3,0,0.011566254310309887,0.001454873476177454,0.0024830515030771494,0.016638033092021942,1.0,0.0
3,78,0.012038145214319229,0.0015996542060747743,0.0019582114182412624,0.016407210379838943,1.0,0.0
3,0,0.01228194497525692,0.0016317085828632116,0.001999030588194728,0.016784097999334335,1.0,0.0
3,78,0.012801996432244778,0.0018028108170256019,0.0016869577812030911,0.018587986007332802,1.0,0.0
3,0,0.01328988280147314,0.0019217677181586623,0.0017399578355252743,0.01926044374704361,1.0,0.0
3,78,0.013974621891975403,0.002124172169715166,0.0016905730590224266,0.020016776397824287,1.0,0.0
3,0,0.013951962813735008,0.0021338914521038532,0.001714537851512432,0.020119935274124146,1.0,0.0
3,78,0.01955007202923298,0.0033161903265863657,0.002623715903609991,0.028155218809843063,1.0,0.0
3,0,0.012666690163314342,0.0019181702518835664,0.0017352864379063249,0.017828354611992836,1.0,0.0
3,78,0.01477713230997324,0.0023270491510629654,0.0023123114369809628,0.021735595539212227,1.0,0.0
4,0,0.01994045078754425,0.0034592854790389538,0.0034898624289780855,0.030034909024834633,1.0,0.0
4,78,0.01882774382829666,0.0032294983975589275,0.003551702480763197,0.027390610426664352,1.0,0.0
4,0,0.018461808562278748,0.0032380027696490288,0.0034698410890996456,0.027050405740737915,1.0,0.0
4,78,0.01703725755214691,0.0029429348651319742,0.003314636880531907,0.025561537593603134,1.0,0.0
4,0,0.018077552318572998,0.003204758744686842,0.003418859327211976,0.02728245034813881,1.0,0.0
4,78,0.019114846363663673,0.003528687870129943,0.0034586277324706316,0.028239980340003967,1.0,0.0
4,0,0.01991809718310833,0.003688170574605465,0.0036173518747091293,0.028986211866140366,1.0,0.0
4,78,0.01934017613530159,0.0036797672510147095,0.003267102874815464,0.02857881411910057,1.0,0.0
4,0,0.018858598545193672,0.0035646564792841673,0.003212891984730959,0.02784082107245922,1.0,0.0
4,78,0.017068201676011086,0.003201133804395795,0.0027844326104968786,0.025912383571267128,1.0,0.0
5,0,0.01211642101407051,0.0019931059796363115,0.0023727945517748594,0.018483135849237442,1.0,0.0
5,78,0.012679479084908962,0.0022330230567604303,0.000987487961538136,0.018625950440764427,1.0,0.0
5,0,0.014290379360318184,0.0026471123564988375,0.0010782243916764855,0.02127283252775669,1.0,0.0
5,78,0.013674970716238022,0.00263942196033895,0.001208778703585267,0.02116141840815544,1.0,0.0
5,0,0.014902852475643158,0.002860264154151082,0.0013420517789199948,0.023025773465633392,1.0,0.0
5,78,0.0145476208999753,0.002829707693308592,0.002019416308030486,0.022324033081531525,1.0,0.0
5,0,0.01577111892402172,0.0031170672737061977,0.002100967336446047,0.02432408556342125,1.0,0.0
5,78,0.013581476174294949,0.0026875389739871025,0.0010574208572506905,0.02053830772638321,1.0,0.0
5,0,0.016039425507187843,0.003210141323506832,0.001270189299248159,0.024395320564508438,1.0,0.0
5,78,0.011162002570927143,0.002091271337121725,0.0008233049302361906,0.018312666565179825,1.0,0.0
