,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.65,52.25,51.1,74.8,72.7
vertical,,96.95,50.0,74.4,71.3
circle,,,74.9,49.4,55.0
diagonal,,,,99.75,75.85
xor_quadrant,,,,,67.8
