step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,phase_scale,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,2.0045015811920166,0.685370683670044,0.540336012840271,0.04318295791745186,0.8057146072387695,1.8505691289901733,131.66666666666666,0.5078,0.0023,0.5023,0.5151,0.0,0.0
50,1.8839259147644043,1.5128599405288696,0.3788032531738281,0.0007923818193376064,0.42625606060028076,1.1450932025909424,131.66666666666666,0.3282,0.0079,0.2419,0.3727,0.0,0.0
100,1.3427847623825073,0.8576959371566772,0.7037410140037537,0.0759064257144928,0.009854329749941826,0.07884190231561661,131.66666666666666,0.0246,0.008,0.0027,0.089,1.0,0.0
150,1.1456855535507202,0.6305496692657471,0.0,0.07826314121484756,0.0,0.04417983442544937,131.66666666666666,0.0208,0.0053,0.0003,0.1412,0.9998,0.0
200,1.3249480724334717,0.6360970735549927,0.0,0.0777314230799675,0.0,0.05255420506000519,131.66666666666666,0.0214,0.006,0.0003,0.1942,0.9987,0.0
250,1.232169270515442,0.720609188079834,0.0,0.07907955348491669,0.0,0.03018108941614628,131.66666666666666,0.0184,0.0062,0.0003,0.2197,0.9981,0.0
300,1.1501973867416382,0.9634782075881958,0.3119388818740845,0.08244144171476364,-0.0005977874388918281,0.003024588106200099,131.66666666666666,0.0122,0.0068,0.0004,0.1842,0.9985,0.0
350,1.303614854812622,0.759026288986206,0.0,0.07826587557792664,0.0,0.04363059997558594,131.66666666666666,0.0194,0.0105,0.0003,0.3349,0.9981,0.0
