,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.75,58.45,50.15,74.25,73.95
vertical,,90.5,51.1,75.0,72.9
circle,,,75.7,52.2,59.9
diagonal,,,,97.85,75.85
xor_quadrant,,,,,70.65
