task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,24.8,-24.25
vertical,51.0,17.6,-33.4
circle,48.75,15.8,-32.95
diagonal,50.65,22.0,-28.65
xor_quadrant,0.0,0.0,0.0
