,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.15,51.95,48.4,75.25,49.55
xor_quadrant,,98.75,51.1,52.15,48.75
circle,,,99.3,50.05,49.95
diagonal,,,,98.25,73.65
vertical,,,,,99.25
