task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,48.55,-0.5
vertical,51.0,51.2,0.2
circle,48.75,28.8,-19.95
diagonal,50.65,47.1,-3.55
xor_quadrant,0.0,0.0,0.0
