task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.49931,81.75,1.329
horizontal,1,2,0.20016,97.92,0.871
horizontal,1,3,0.08498,99.25,0.834
horizontal,1,4,0.04911,99.54,0.836
horizontal,1,5,0.03291,99.59,1.004
vertical,2,1,0.9799,66.09,1.219
vertical,2,2,0.20278,93.38,1.185
vertical,2,3,0.08783,97.85,1.178
vertical,2,4,0.04873,99.22,0.981
vertical,2,5,0.0315,99.64,0.87
circle,3,1,1.16805,50.97,1.131
circle,3,2,0.53401,75.54,1.111
circle,3,3,0.50355,75.68,0.886
circle,3,4,0.47136,75.68,0.849
circle,3,5,0.43906,75.68,0.854
diagonal,4,1,0.46479,78.47,0.91
diagonal,4,2,0.28381,88.1,0.86
diagonal,4,3,0.15244,95.1,0.943
diagonal,4,4,0.07675,99.08,0.879
diagonal,4,5,0.04934,99.45,1.017
xor_quadrant,5,1,1.02727,66.35,0.943
xor_quadrant,5,2,0.58253,69.38,0.836
xor_quadrant,5,3,0.53737,70.19,0.857
xor_quadrant,5,4,0.46027,72.68,1.146
xor_quadrant,5,5,0.2833,94.08,1.009
