task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.75,99.75,51.2,48.55
vertical,99.7,99.7,48.5,51.2
circle,77.5,77.5,48.7,28.8
diagonal,98.7,98.7,51.6,47.1
xor_quadrant,96.9,96.9,96.9,0.0
