,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.75,50.9,51.1,74.9,51.2
vertical,,99.7,50.4,75.9,48.5
circle,,,77.5,53.6,48.7
diagonal,,,,98.7,51.6
xor_quadrant,,,,,96.9
