task,phase,epoch,train_loss,train_accuracy,epoch_seconds
xor_quadrant,1,1,0.43536,79.28,0.568
xor_quadrant,1,2,0.06729,97.62,0.397
xor_quadrant,1,3,0.04426,98.57,0.362
xor_quadrant,1,4,0.03716,98.46,0.392
xor_quadrant,1,5,0.03054,98.76,0.394
diagonal,2,1,0.29156,92.68,0.406
diagonal,2,2,0.03308,98.8,0.405
diagonal,2,3,0.02553,99.06,0.379
diagonal,2,4,0.02342,99.1,0.362
diagonal,2,5,0.02211,99.12,0.366
vertical,3,1,0.20533,95.46,0.402
vertical,3,2,0.01908,99.38,0.393
vertical,3,3,0.01549,99.46,0.392
vertical,3,4,0.01739,99.33,0.401
vertical,3,5,0.01405,99.52,0.401
circle,4,1,0.76727,73.02,0.529
circle,4,2,0.25761,92.08,0.526
circle,4,3,0.15354,96.63,0.521
circle,4,4,0.10635,96.89,0.523
circle,4,5,0.07615,97.43,0.554
horizontal,5,1,0.18034,95.42,0.54
horizontal,5,2,0.02005,99.4,0.53
horizontal,5,3,0.0166,99.43,0.453
horizontal,5,4,0.0152,99.41,0.403
horizontal,5,5,0.01388,99.52,0.431
