,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,95.15,58.15,52.65,73.95,72.2
vertical,,89.2,51.3,73.4,72.05
circle,,,77.05,54.15,61.8
diagonal,,,,98.3,76.25
xor_quadrant,,,,,69.1
