task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,22.95,-26.1
vertical,51.0,17.15,-33.85
circle,48.75,15.25,-33.5
diagonal,50.65,22.05,-28.6
xor_quadrant,0.0,0.0,0.0
