,after_t1,after_t2,after_t3,after_t4,after_t5
xor_quadrant,58.25,49.65,58.55,52.7,64.1
vertical,,99.15,70.75,75.1,63.0
horizontal,,,78.95,74.8,65.0
diagonal,,,,96.7,64.3
circle,,,,,63.2
