,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.3,63.25,51.1,76.2,75.85
vertical,,85.95,50.0,72.8,72.35
circle,,,74.9,51.9,57.95
diagonal,,,,97.25,79.1
xor_quadrant,,,,,68.75
