task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,22.45,-26.6
vertical,51.0,13.6,-37.4
circle,48.75,16.95,-31.8
diagonal,50.65,18.15,-32.5
xor_quadrant,0.0,0.0,0.0
