task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,98.3,98.3,75.85,22.45
vertical,85.95,85.95,72.35,13.6
circle,74.9,74.9,57.95,16.95
diagonal,97.25,97.25,79.1,18.15
xor_quadrant,68.75,68.75,68.75,0.0
