task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.71244,50.27,2.039
horizontal,1,2,0.65522,71.61,1.826
horizontal,1,3,0.58451,92.22,2.126
horizontal,1,4,0.48411,96.51,1.863
horizontal,1,5,0.35326,97.44,1.547
vertical,2,1,0.84234,50.15,1.475
vertical,2,2,0.7309,55.09,1.399
vertical,2,3,0.62832,61.24,1.477
vertical,2,4,0.53285,70.54,1.545
vertical,2,5,0.43779,81.42,1.394
circle,3,1,0.77818,52.52,1.47
circle,3,2,0.68047,56.82,1.448
circle,3,3,0.62275,65.98,1.419
circle,3,4,0.58794,72.54,1.406
circle,3,5,0.56667,75.74,1.529
diagonal,4,1,0.61042,59.84,1.837
diagonal,4,2,0.48733,87.59,2.081
diagonal,4,3,0.4079,93.31,2.244
diagonal,4,4,0.33306,94.98,1.412
diagonal,4,5,0.26499,96.58,1.422
xor_quadrant,5,1,0.89257,59.48,1.461
xor_quadrant,5,2,0.77072,66.64,1.426
xor_quadrant,5,3,0.70721,67.36,1.449
xor_quadrant,5,4,0.66049,67.6,1.519
xor_quadrant,5,5,0.62729,68.15,1.472
