task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.77719,49.81,1.796
horizontal,1,2,0.638,65.86,1.924
horizontal,1,3,0.54994,87.65,1.608
horizontal,1,4,0.42365,92.24,1.79
horizontal,1,5,0.26637,96.67,1.838
vertical,2,1,0.95746,52.05,1.553
vertical,2,2,0.76674,55.44,1.591
vertical,2,3,0.63191,61.27,1.646
vertical,2,4,0.50968,72.6,1.667
vertical,2,5,0.38155,85.03,1.444
circle,3,1,0.82945,53.12,1.312
circle,3,2,0.67604,57.79,1.362
circle,3,3,0.61282,66.7,1.311
circle,3,4,0.57871,73.29,1.437
circle,3,5,0.55938,75.62,1.409
diagonal,4,1,0.56527,71.5,1.438
diagonal,4,2,0.43089,90.09,1.358
diagonal,4,3,0.33412,92.01,1.35
diagonal,4,4,0.2546,94.23,1.294
diagonal,4,5,0.18919,96.32,1.308
xor_quadrant,5,1,1.02221,61.59,1.291
xor_quadrant,5,2,0.75152,68.69,1.316
xor_quadrant,5,3,0.64849,69.71,1.342
xor_quadrant,5,4,0.60685,70.11,1.301
xor_quadrant,5,5,0.58256,71.19,1.274
