task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,23.6,-25.45
vertical,51.0,15.7,-35.3
circle,48.75,16.45,-32.3
diagonal,50.65,18.65,-32.0
xor_quadrant,0.0,0.0,0.0
