,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,98.65,59.75,50.8,76.0,75.05
vertical,,90.05,48.9,74.0,74.35
circle,,,77.4,51.3,60.95
diagonal,,,,97.8,79.15
xor_quadrant,,,,,70.65
