step,gov_loss,loss_new,loss_old,sparse_cost,ewc_cost,delta_cost,delta_cost_live,phase_scale,allocated_weights,frac_active,mask_mean,mask_std,mask_min,mask_max,frac_lt_0.1,frac_gt_0.9
1,1.3225842714309692,0.7276839017868042,0.0,0.0749649628996849,0.0,0.0014956092927604914,0.014769141562283039,9.875,2705,0.444,0.0041,0.0096,0.0,0.0308,1.0,0.0
50,1.2041339874267578,0.6575835943222046,0.6703759431838989,0.02098316326737404,0.23775601387023926,0.00011881719547091052,0.001173319760710001,9.875,33,0.044,0.0003,0.0068,0.0,0.1846,0.9981,0.0
100,1.2310091257095337,1.016404390335083,0.58774334192276,0.00031856438727118075,0.5619657635688782,0.0010905880481004715,0.0107695572078228,9.875,225,0.133,0.0037,0.0324,0.0,0.3366,0.987,0.0
150,0.927243709564209,0.7257835865020752,0.0,0.008055159822106361,0.0,0.006480763200670481,0.0639975368976593,9.875,1481,0.289,0.0185,0.0605,0.0,0.2331,0.9141,0.0
200,1.4443944692611694,0.42838793992996216,0.32835155725479126,0.002167069585993886,0.5842631459236145,0.016460930928587914,0.16255168616771698,9.875,3641,0.444,0.0551,0.1075,0.0,0.3964,0.7889,0.0
250,1.0109858512878418,0.7104974985122681,0.0,0.01041194424033165,0.0,0.013679458759725094,0.13508465886116028,9.875,3673,0.444,0.042,0.0809,0.0,0.2303,0.7871,0.0
300,1.1169112920761108,0.7407352924346924,0.0,5.7270543862841805e-08,0.0,7.163807367760455e-06,7.074260065564886e-05,9.875,1,0.022,0.0,0.0023,0.0,0.3053,0.9999,0.0
350,1.2453140020370483,0.6768684387207031,0.0,0.0195928905159235,0.0,0.00720156729221344,0.07111547887325287,9.875,2705,0.444,0.025,0.0744,0.0,0.3827,0.9591,0.0
