task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.64167,69.09,1.178
horizontal,1,2,0.34859,91.74,0.928
horizontal,1,3,0.10088,99.26,1.054
horizontal,1,4,0.04888,99.39,0.816
horizontal,1,5,0.03094,99.7,0.797
vertical,2,1,1.03338,63.17,0.91
vertical,2,2,0.33374,86.66,0.917
vertical,2,3,0.1383,96.25,1.025
vertical,2,4,0.06378,99.16,0.944
vertical,2,5,0.0389,99.71,0.848
circle,3,1,1.19263,50.8,0.784
circle,3,2,0.53579,74.24,1.005
circle,3,3,0.50523,76.25,0.884
circle,3,4,0.46906,76.25,0.986
circle,3,5,0.38711,80.61,0.819
diagonal,4,1,0.34178,85.72,0.835
diagonal,4,2,0.09389,98.67,0.831
diagonal,4,3,0.05345,99.32,0.805
diagonal,4,4,0.04048,99.23,0.851
diagonal,4,5,0.0318,99.41,0.884
xor_quadrant,5,1,1.07194,64.7,0.868
xor_quadrant,5,2,0.61311,67.06,0.856
xor_quadrant,5,3,0.58699,67.94,0.816
xor_quadrant,5,4,0.5637,68.58,0.949
xor_quadrant,5,5,0.52824,69.85,0.982
