task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,27.7,-21.35
vertical,51.0,26.7,-24.3
circle,48.75,34.95,-13.8
diagonal,50.65,25.2,-25.45
xor_quadrant,0.0,0.0,0.0
