,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.1,51.0,48.25,76.1,71.4
vertical,,99.9,48.35,75.0,73.2
circle,,,91.65,48.8,56.7
diagonal,,,,99.85,74.65
xor_quadrant,,,,,71.65
