task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.45,99.45,48.55,50.9
xor_quadrant,98.5,98.5,50.45,48.05
diagonal,99.25,99.25,48.4,50.85
vertical,99.65,99.65,49.15,50.5
circle,98.25,98.25,98.25,0.0
