task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.18026,93.8,0.593
horizontal,1,2,0.03362,98.85,0.352
horizontal,1,3,0.03343,98.86,0.348
horizontal,1,4,0.03216,98.75,0.349
horizontal,1,5,0.03008,98.85,0.346
xor_quadrant,2,1,0.84333,62.92,0.343
xor_quadrant,2,2,0.09603,96.87,0.359
xor_quadrant,2,3,0.04635,98.23,0.34
xor_quadrant,2,4,0.04993,98.09,0.332
xor_quadrant,2,5,0.03865,98.53,0.345
diagonal,3,1,0.39075,89.23,0.334
diagonal,3,2,0.03823,98.74,0.354
diagonal,3,3,0.03373,98.95,0.348
diagonal,3,4,0.02208,99.25,0.356
diagonal,3,5,0.02823,99.03,0.347
vertical,4,1,0.25188,94.2,0.363
vertical,4,2,0.02282,99.35,0.407
vertical,4,3,0.01657,99.61,0.418
vertical,4,4,0.02188,99.33,0.405
vertical,4,5,0.01362,99.57,0.406
circle,5,1,0.86037,69.89,0.414
circle,5,2,0.2603,89.51,0.42
circle,5,3,0.083,97.32,0.415
circle,5,4,0.07833,97.12,0.396
circle,5,5,0.04787,98.38,0.383
