,after_t1,after_t2,after_t3,after_t4,after_t5
circle,77.4,49.6,51.3,48.7,57.8
vertical,,97.5,74.6,50.2,67.7
diagonal,,,97.7,76.1,80.9
horizontal,,,,99.8,80.8
xor_quadrant,,,,,68.0
