task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,19.6,-29.45
vertical,51.0,29.8,-21.2
diagonal,48.75,16.8,-31.95
horizontal,50.65,19.0,-31.65
xor_quadrant,0.0,0.0,0.0
