,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.65,99.65,99.65,99.65,99.65
vertical,,99.85,99.85,99.85,99.85
circle,,,98.35,98.35,98.35
diagonal,,,,98.3,98.3
xor_quadrant,,,,,99.55
