task,initial_accuracy,final_accuracy,forgetting
horizontal,99.58,99.58,0.0
vertical,99.86,99.86,0.0
circle,98.27,98.27,0.0
diagonal,98.19,98.19,0.0
xor_quadrant,99.47,99.47,0.0
