,after_t1,after_t2,after_t3,after_t4,after_t5
circle,74.9,48.9,49.55,50.45,57.3
vertical,,98.2,74.25,49.55,62.0
diagonal,,,99.1,75.4,86.55
horizontal,,,,99.35,87.2
xor_quadrant,,,,,59.8
