task,forgetting_phase1,forgetting_phase2,delta
circle,49.05,17.6,-31.45
vertical,51.0,36.2,-14.8
diagonal,48.75,12.55,-36.2
horizontal,50.65,12.15,-38.5
xor_quadrant,0.0,0.0,0.0
