task,phase,epoch,train_loss,train_accuracy,epoch_seconds
circle,1,1,0.74985,36.72,2.125
circle,1,2,0.60396,75.34,1.476
circle,1,3,0.5561,76.1,1.171
circle,1,4,0.54916,76.1,1.217
circle,1,5,0.54438,76.1,1.276
vertical,2,1,0.78474,50.33,1.237
vertical,2,2,0.68466,51.21,1.233
vertical,2,3,0.61739,77.91,1.229
vertical,2,4,0.5317,93.95,1.25
vertical,2,5,0.41932,97.01,1.239
diagonal,3,1,0.45015,79.76,1.23
diagonal,3,2,0.36718,85.42,1.274
diagonal,3,3,0.2849,92.02,1.313
diagonal,3,4,0.21511,96.85,1.607
diagonal,3,5,0.16154,98.85,1.547
horizontal,4,1,0.44875,80.25,1.8
horizontal,4,2,0.27277,88.11,2.06
horizontal,4,3,0.17262,93.26,2.256
horizontal,4,4,0.10755,97.16,2.029
horizontal,4,5,0.07077,99.02,1.269
xor_quadrant,5,1,1.58004,50.25,1.622
xor_quadrant,5,2,1.18351,51.8,2.045
xor_quadrant,5,3,0.94018,54.26,2.114
xor_quadrant,5,4,0.78591,56.27,2.25
xor_quadrant,5,5,0.69493,58.67,2.555
