task,initial_accuracy,best_accuracy,final_accuracy,forgetting
horizontal,99.25,99.25,73.95,25.3
vertical,83.9,83.9,73.05,10.85
circle,77.5,77.5,61.05,16.45
diagonal,99.45,99.45,77.05,22.4
xor_quadrant,69.75,69.75,69.75,0.0
