task,forgetting_phase1,forgetting_phase2,delta
horizontal,49.05,25.3,-23.75
vertical,51.0,10.85,-40.15
circle,48.75,16.45,-32.3
diagonal,50.65,22.4,-28.25
xor_quadrant,0.0,0.0,0.0
