,after_t1,after_t2,after_t3,after_t4,after_t5
horizontal,99.25,66.9,51.1,75.85,73.95
vertical,,83.9,50.4,75.05,73.05
circle,,,77.5,53.35,61.05
diagonal,,,,99.45,77.05
xor_quadrant,,,,,69.75
