task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.61384,63.05,1.946
horizontal,1,2,0.50386,86.25,1.2
horizontal,1,3,0.36861,91.77,1.225
horizontal,1,4,0.22367,96.5,1.338
horizontal,1,5,0.12322,99.01,1.282
vertical,2,1,1.25378,51.77,1.338
vertical,2,2,0.89542,54.35,1.576
vertical,2,3,0.69293,58.8,1.506
vertical,2,4,0.56301,66.35,1.498
vertical,2,5,0.46712,76.39,1.624
circle,3,1,0.76526,53.54,1.541
circle,3,2,0.63921,57.0,1.595
circle,3,3,0.58134,67.21,1.498
circle,3,4,0.55105,75.68,1.458
circle,3,5,0.53444,75.68,1.363
diagonal,4,1,0.54694,69.01,1.392
diagonal,4,2,0.39114,89.69,1.379
diagonal,4,3,0.28791,92.47,1.394
diagonal,4,4,0.20552,96.03,1.416
diagonal,4,5,0.14342,98.87,1.406
xor_quadrant,5,1,1.15229,58.09,1.284
xor_quadrant,5,2,0.77723,66.99,1.29
xor_quadrant,5,3,0.65828,68.46,1.309
xor_quadrant,5,4,0.6157,69.12,1.53
xor_quadrant,5,5,0.59465,69.81,1.602
