task,phase,epoch,train_loss,train_accuracy,epoch_seconds
horizontal,1,1,0.20296,92.52,0.681
horizontal,1,2,0.04593,98.66,0.387
horizontal,1,3,0.028,99.09,0.357
horizontal,1,4,0.03239,98.82,0.354
horizontal,1,5,0.01361,99.6,0.43
vertical,2,1,0.57966,83.6,0.491
vertical,2,2,0.03406,99.12,0.46
vertical,2,3,0.02201,99.4,0.462
vertical,2,4,0.01603,99.52,0.554
vertical,2,5,0.01476,99.51,0.38
circle,3,1,0.86319,69.08,0.39
circle,3,2,0.2709,90.58,0.364
circle,3,3,0.10398,96.61,0.369
circle,3,4,0.06513,97.61,0.367
circle,3,5,0.05826,97.78,0.361
diagonal,4,1,0.28433,90.59,0.35
diagonal,4,2,0.06724,97.65,0.364
diagonal,4,3,0.03828,98.76,0.367
diagonal,4,4,0.03984,98.58,0.361
diagonal,4,5,0.0485,98.48,0.383
xor_quadrant,5,1,0.8547,70.25,0.408
xor_quadrant,5,2,0.17359,95.61,0.374
xor_quadrant,5,3,0.05095,98.43,0.369
xor_quadrant,5,4,0.04619,98.44,0.361
xor_quadrant,5,5,0.04272,98.55,0.387
